date,pit_id,target_tons,actual_tons,rainfall_mm,excavator_downtime_hrs,dumper_downtime_hrs,blasting_delay_mins
2025-01-07,Barbil_Pit_2,850,828,0.2,0.7,0.0,0
2025-01-07,Joda_Pit_3,700,670,0.1,0.1,0.2,15
2025-01-07,Garividi_Pit_1,600,481,6.5,0.5,0.5,45
2025-01-07,Vizianagaram_Pit_2,550,359,0.5,3.6,0.0,60
2025-01-07,Sandur_Pit_1,750,602,0.2,0.9,5.6,15
2025-01-07,Ballari_Pit_2,650,556,2.0,1.3,1.0,15
2025-01-08,Bharveli_Pit_1,850,695,0.1,0.4,4.8,45
2025-01-08,Ukwa_Pit_2,600,572,1.2,1.1,0.5,0
2025-01-08,Tirodi_Pit_3,750,531,1.8,0.1,5.9,90
2025-01-08,Dongri_Buzurg_Pit_4,900,827,2.4,0.8,0.6,30
2025-01-08,Mansar_Pit_5,500,294,4.8,1.9,4.8,30
2025-01-08,Kandri_Pit_6,650,480,1.9,0.6,4.3,45
2025-01-08,Keonjhar_Pit_1,800,740,8.7,0.2,1.4,0
2025-01-08,Barbil_Pit_2,850,723,7.0,2.0,2.9,0
2025-01-08,Joda_Pit_3,700,479,0.1,2.2,2.7,90
2025-01-08,Garividi_Pit_1,600,419,11.4,0.9,2.3,60
2025-01-08,Vizianagaram_Pit_2,550,427,1.2,0.2,4.9,15
2025-01-08,Sandur_Pit_1,750,679,0.5,1.2,1.5,0
2025-01-08,Ballari_Pit_2,650,525,1.5,1.6,1.2,45
2025-01-09,Bharveli_Pit_1,850,749,1.6,0.9,3.3,0
2025-01-09,Ukwa_Pit_2,600,564,2.4,0.3,0.2,0
2025-01-09,Tirodi_Pit_3,750,703,0.9,1.0,0.8,0
2025-01-09,Dongri_Buzurg_Pit_4,900,801,1.4,1.7,0.8,15
2025-01-09,Mansar_Pit_5,500,337,4.0,3.3,0.3,45
2025-01-09,Kandri_Pit_6,650,489,1.2,4.3,1.1,0
2025-01-09,Keonjhar_Pit_1,800,777,2.0,0.3,0.1,0
2025-01-09,Barbil_Pit_2,850,777,0.4,0.5,3.6,0
2025-01-09,Joda_Pit_3,700,685,2.2,0.2,0.3,0
2025-01-09,Garividi_Pit_1,600,600,0.4,0.1,0.2,0
2025-01-09,Vizianagaram_Pit_2,550,501,0.5,0.5,1.1,15
2025-01-09,Sandur_Pit_1,750,641,4.1,2.8,0.1,0
2025-01-09,Ballari_Pit_2,650,587,3.3,1.5,0.3,0
2025-01-10,Bharveli_Pit_1,850,796,1.9,0.5,1.0,30
2025-01-10,Ukwa_Pit_2,600,469,0.1,0.3,2.0,45
2025-01-10,Tirodi_Pit_3,750,694,0.2,0.7,1.2,0
2025-01-10,Dongri_Buzurg_Pit_4,900,888,0.6,0.5,0.0,0
2025-01-10,Mansar_Pit_5,500,390,0.3,2.4,1.4,15
2025-01-10,Kandri_Pit_6,650,578,3.1,0.8,0.1,15
2025-01-10,Keonjhar_Pit_1,800,775,1.1,0.2,0.5,0
2025-01-10,Barbil_Pit_2,850,707,2.1,0.9,0.7,90
2025-01-10,Joda_Pit_3,700,678,0.2,0.2,0.5,0
2025-01-10,Garividi_Pit_1,600,526,0.4,0.4,0.3,45
2025-01-10,Vizianagaram_Pit_2,550,410,1.1,4.4,0.2,0
2025-01-10,Sandur_Pit_1,750,599,7.0,2.2,2.7,0
2025-01-10,Ballari_Pit_2,650,586,5.3,0.9,1.4,0
2025-01-11,Bharveli_Pit_1,850,838,2.9,0.2,0.6,0
2025-01-11,Ukwa_Pit_2,600,540,0.2,1.0,0.5,15
2025-01-11,Tirodi_Pit_3,750,713,0.3,0.7,1.2,0
2025-01-11,Dongri_Buzurg_Pit_4,900,693,0.1,5.1,0.6,30
2025-01-11,Mansar_Pit_5,500,421,0.6,1.3,2.3,15
2025-01-11,Kandri_Pit_6,650,439,0.9,2.9,2.8,60
2025-01-11,Keonjhar_Pit_1,800,672,0.3,1.4,4.5,0
2025-01-11,Barbil_Pit_2,850,741,1.7,2.0,0.2,30
2025-01-11,Joda_Pit_3,700,647,0.5,0.2,0.3,30
2025-01-11,Garividi_Pit_1,600,452,0.9,2.3,0.8,30
2025-01-11,Vizianagaram_Pit_2,550,511,1.2,0.5,1.0,0
2025-01-11,Sandur_Pit_1,750,619,0.5,2.5,0.8,15
2025-01-11,Ballari_Pit_2,650,536,4.7,1.1,0.2,60
2025-01-12,Bharveli_Pit_1,850,738,0.3,1.7,1.5,15
2025-01-12,Ukwa_Pit_2,600,515,4.5,1.7,0.3,0
2025-01-12,Tirodi_Pit_3,750,634,0.1,0.9,2.3,45
2025-01-12,Dongri_Buzurg_Pit_4,900,799,0.8,1.9,0.2,30
2025-01-12,Mansar_Pit_5,500,448,3.2,0.2,0.4,30
2025-01-12,Kandri_Pit_6,650,561,2.5,1.1,1.9,15
2025-01-12,Keonjhar_Pit_1,800,703,0.4,2.6,1.4,0
2025-01-12,Barbil_Pit_2,850,695,1.2,3.2,0.3,15
2025-01-12,Joda_Pit_3,700,530,0.0,2.3,4.3,15
2025-01-12,Garividi_Pit_1,600,446,2.4,2.8,2.0,0
2025-01-12,Vizianagaram_Pit_2,550,351,1.1,1.5,4.4,45
2025-01-12,Sandur_Pit_1,750,585,1.2,0.1,6.7,30
2025-01-12,Ballari_Pit_2,650,611,1.8,0.6,0.1,0
2025-01-13,Bharveli_Pit_1,850,819,3.2,0.0,0.6,0
2025-01-13,Ukwa_Pit_2,600,542,0.9,0.5,2.1,0
2025-01-13,Tirodi_Pit_3,750,749,0.5,0.7,0.2,0
2025-01-13,Dongri_Buzurg_Pit_4,900,823,4.9,0.5,1.4,15
2025-01-13,Mansar_Pit_5,500,387,0.0,1.2,0.3,60
2025-01-13,Kandri_Pit_6,650,421,0.2,6.3,1.1,15
2025-01-13,Keonjhar_Pit_1,800,696,0.1,1.5,0.4,45
2025-01-13,Barbil_Pit_2,850,809,0.1,0.7,1.3,0
2025-01-13,Joda_Pit_3,700,632,3.0,0.7,1.2,0
2025-01-13,Garividi_Pit_1,600,484,0.3,0.2,3.2,60
2025-01-13,Vizianagaram_Pit_2,550,497,0.9,0.3,1.7,0
2025-01-13,Sandur_Pit_1,750,702,0.1,0.3,0.4,15
2025-01-13,Ballari_Pit_2,650,612,0.0,0.1,2.6,0
2025-01-14,Bharveli_Pit_1,850,743,0.2,0.3,2.0,45
2025-01-14,Ukwa_Pit_2,600,529,3.5,0.6,1.8,0
2025-01-14,Tirodi_Pit_3,750,743,0.0,0.1,0.4,0
2025-01-14,Dongri_Buzurg_Pit_4,900,802,0.4,1.0,0.9,45
2025-01-14,Mansar_Pit_5,500,446,0.6,0.5,1.4,0
2025-01-14,Kandri_Pit_6,650,598,2.0,0.6,1.3,0
2025-01-14,Keonjhar_Pit_1,800,726,2.9,0.2,3.2,0
2025-01-14,Barbil_Pit_2,850,756,4.5,1.8,0.9,0
2025-01-14,Joda_Pit_3,700,660,2.0,0.3,0.2,30
2025-01-14,Garividi_Pit_1,600,536,8.3,0.8,0.3,0
2025-01-14,Vizianagaram_Pit_2,550,462,0.6,0.9,1.7,30
2025-01-14,Sandur_Pit_1,750,688,0.5,0.0,0.2,45
2025-01-14,Ballari_Pit_2,650,536,1.8,1.2,0.3,45
2025-01-15,Bharveli_Pit_1,850,803,1.1,0.5,1.2,0
2025-01-15,Ukwa_Pit_2,600,565,0.2,1.0,0.5,0
2025-01-15,Tirodi_Pit_3,750,705,0.7,0.5,2.0,0
2025-01-15,Dongri_Buzurg_Pit_4,900,732,2.2,3.0,2.1,0
2025-01-15,Mansar_Pit_5,500,439,0.1,0.3,1.4,0
2025-01-15,Kandri_Pit_6,650,593,0.8,1.6,0.2,0
2025-01-15,Keonjhar_Pit_1,800,723,2.6,0.8,1.9,0
2025-01-15,Barbil_Pit_2,850,775,3.2,1.3,0.5,15
2025-01-15,Joda_Pit_3,700,622,0.9,0.1,4.0,0
2025-01-15,Garividi_Pit_1,600,468,0.4,0.9,3.3,30
2025-01-15,Vizianagaram_Pit_2,550,430,3.3,1.2,1.9,30
2025-01-15,Sandur_Pit_1,750,528,0.5,4.8,4.6,0
2025-01-15,Ballari_Pit_2,650,535,2.4,2.9,0.3,15
2025-01-16,Bharveli_Pit_1,850,612,5.2,3.9,4.6,0
2025-01-16,Ukwa_Pit_2,600,473,4.0,2.0,0.6,30
2025-01-16,Tirodi_Pit_3,750,730,0.5,0.1,0.1,15
2025-01-16,Dongri_Buzurg_Pit_4,900,836,0.8,1.4,0.1,0
2025-01-16,Mansar_Pit_5,500,379,0.8,1.1,3.5,15
2025-01-16,Kandri_Pit_6,650,588,0.5,0.0,3.3,0
2025-01-16,Keonjhar_Pit_1,800,532,5.6,1.8,9.9,0
2025-01-16,Barbil_Pit_2,850,788,2.9,0.6,1.0,15
2025-01-16,Joda_Pit_3,700,626,1.1,1.5,0.4,0
2025-01-16,Garividi_Pit_1,600,573,0.9,0.4,0.6,0
2025-01-16,Vizianagaram_Pit_2,550,423,1.0,1.3,0.4,60
2025-01-16,Sandur_Pit_1,750,665,3.1,0.1,0.9,45
2025-01-16,Ballari_Pit_2,650,493,1.9,0.2,7.6,0
2025-01-17,Bharveli_Pit_1,850,751,5.7,1.2,1.5,15
2025-01-17,Ukwa_Pit_2,600,554,0.5,0.2,2.4,0
2025-01-17,Tirodi_Pit_3,750,499,0.1,3.8,3.4,45
2025-01-17,Dongri_Buzurg_Pit_4,900,842,2.4,0.2,2.7,0
2025-01-17,Mansar_Pit_5,500,435,0.5,0.8,1.4,15
2025-01-17,Kandri_Pit_6,650,435,4.4,3.4,3.2,30
2025-01-17,Keonjhar_Pit_1,800,775,2.1,0.9,0.1,0
2025-01-17,Barbil_Pit_2,850,820,2.6,0.8,0.1,0
2025-01-17,Joda_Pit_3,700,609,2.3,0.1,3.0,0
2025-01-17,Garividi_Pit_1,600,526,3.5,0.5,1.8,15
2025-01-17,Vizianagaram_Pit_2,550,401,0.6,2.3,2.6,15
2025-01-17,Sandur_Pit_1,750,631,2.4,1.3,1.5,30
2025-01-17,Ballari_Pit_2,650,518,0.3,2.3,3.3,0
2025-01-18,Bharveli_Pit_1,850,756,0.8,1.5,0.3,30
2025-01-18,Ukwa_Pit_2,600,559,3.6,0.8,0.0,0
2025-01-18,Tirodi_Pit_3,750,686,2.0,0.3,1.6,15
2025-01-18,Dongri_Buzurg_Pit_4,900,827,3.0,0.1,2.3,15
2025-01-18,Mansar_Pit_5,500,318,2.0,3.0,0.2,60
2025-01-18,Kandri_Pit_6,650,590,2.3,0.1,0.6,30
2025-01-18,Keonjhar_Pit_1,800,713,0.8,1.1,0.1,45
2025-01-18,Barbil_Pit_2,850,645,7.3,3.8,2.2,0
2025-01-18,Joda_Pit_3,700,556,2.3,0.6,0.5,90
2025-01-18,Garividi_Pit_1,600,542,1.1,0.7,0.3,30
2025-01-18,Vizianagaram_Pit_2,550,470,0.2,1.3,1.7,0
2025-01-18,Sandur_Pit_1,750,614,6.0,0.2,0.9,60
2025-01-18,Ballari_Pit_2,650,525,1.0,0.4,6.6,0
2025-01-19,Bharveli_Pit_1,850,829,4.5,0.3,0.4,0
2025-01-19,Ukwa_Pit_2,600,449,4.0,0.7,5.5,0
2025-01-19,Tirodi_Pit_3,750,598,4.1,1.6,2.4,30
2025-01-19,Dongri_Buzurg_Pit_4,900,794,0.3,0.0,4.1,15
2025-01-19,Mansar_Pit_5,500,469,3.2,0.7,0.2,0
2025-01-19,Kandri_Pit_6,650,588,0.4,0.7,0.1,15
2025-01-19,Keonjhar_Pit_1,800,734,0.6,1.8,0.6,0
2025-01-19,Barbil_Pit_2,850,766,1.8,0.4,1.9,45
2025-01-19,Joda_Pit_3,700,671,3.0,0.0,1.0,0
2025-01-19,Garividi_Pit_1,600,539,1.9,1.3,1.3,0
2025-01-19,Vizianagaram_Pit_2,550,530,0.8,0.8,0.1,0
2025-01-19,Sandur_Pit_1,750,658,1.7,1.3,2.6,0
2025-01-19,Ballari_Pit_2,650,580,0.4,0.1,1.6,30
2025-01-20,Bharveli_Pit_1,850,701,2.5,2.3,2.0,30
2025-01-20,Ukwa_Pit_2,600,467,0.8,1.9,0.1,45
2025-01-20,Tirodi_Pit_3,750,651,1.2,1.1,1.2,30
2025-01-20,Dongri_Buzurg_Pit_4,900,890,0.2,0.1,0.5,0
2025-01-20,Mansar_Pit_5,500,410,7.4,0.5,0.3,30
2025-01-20,Kandri_Pit_6,650,556,2.2,0.8,1.3,30
2025-01-20,Keonjhar_Pit_1,800,754,0.4,1.3,0.1,0
2025-01-20,Barbil_Pit_2,850,737,0.6,0.7,3.2,30
2025-01-20,Joda_Pit_3,700,539,0.8,0.5,7.0,0
2025-01-20,Garividi_Pit_1,600,490,4.0,1.0,0.9,30
2025-01-20,Vizianagaram_Pit_2,550,487,4.6,0.6,0.5,15
2025-01-20,Sandur_Pit_1,750,681,4.9,0.3,1.6,15
2025-01-20,Ballari_Pit_2,650,548,2.5,2.6,0.3,0
2025-01-21,Bharveli_Pit_1,850,755,7.1,0.2,3.1,0
2025-01-21,Ukwa_Pit_2,600,543,1.2,0.8,0.7,15
2025-01-21,Tirodi_Pit_3,750,645,0.4,0.5,5.6,0
2025-01-21,Dongri_Buzurg_Pit_4,900,770,3.0,0.2,5.6,0
2025-01-21,Mansar_Pit_5,500,462,0.5,0.1,0.3,15
2025-01-21,Kandri_Pit_6,650,578,1.1,0.3,1.5,30
2025-01-21,Keonjhar_Pit_1,800,757,0.4,0.2,0.1,30
2025-01-21,Barbil_Pit_2,850,678,3.7,1.8,1.4,45
2025-01-21,Joda_Pit_3,700,679,0.5,0.1,0.5,0
2025-01-21,Garividi_Pit_1,600,506,0.1,0.1,1.0,60
2025-01-21,Vizianagaram_Pit_2,550,510,0.8,0.8,0.1,0
2025-01-21,Sandur_Pit_1,750,679,1.2,0.8,1.1,15
2025-01-21,Ballari_Pit_2,650,596,0.3,0.0,0.6,30
2025-01-22,Bharveli_Pit_1,850,798,7.0,0.1,1.8,0
2025-01-22,Ukwa_Pit_2,600,506,4.1,0.2,1.9,30
2025-01-22,Tirodi_Pit_3,750,628,1.4,1.1,3.3,15
2025-01-22,Dongri_Buzurg_Pit_4,900,748,0.1,2.9,1.9,15
2025-01-22,Mansar_Pit_5,500,448,1.0,1.2,0.2,15
2025-01-22,Kandri_Pit_6,650,479,14.9,0.1,6.0,0
2025-01-22,Keonjhar_Pit_1,800,680,1.7,1.5,3.4,0
2025-01-22,Barbil_Pit_2,850,729,0.8,1.2,2.6,30
2025-01-22,Joda_Pit_3,700,647,3.4,0.1,1.3,0
2025-01-22,Garividi_Pit_1,600,558,0.8,0.5,0.8,15
2025-01-22,Vizianagaram_Pit_2,550,546,0.5,0.5,0.4,0
2025-01-22,Sandur_Pit_1,750,668,1.8,1.2,1.5,0
2025-01-22,Ballari_Pit_2,650,625,1.5,0.7,0.0,0
2025-01-23,Bharveli_Pit_1,850,770,1.0,0.6,1.4,15
2025-01-23,Ukwa_Pit_2,600,447,3.4,1.4,5.0,0
2025-01-23,Tirodi_Pit_3,750,663,0.4,0.0,1.7,45
2025-01-23,Dongri_Buzurg_Pit_4,900,792,0.1,3.0,0.7,0
2025-01-23,Mansar_Pit_5,500,475,1.3,0.3,0.5,0
2025-01-23,Kandri_Pit_6,650,565,0.7,1.0,2.0,0
2025-01-23,Keonjhar_Pit_1,800,768,1.1,0.1,0.3,15
2025-01-23,Barbil_Pit_2,850,827,2.5,0.1,1.3,0
2025-01-23,Joda_Pit_3,700,586,6.6,0.7,2.6,15
2025-01-23,Garividi_Pit_1,600,447,6.0,1.0,2.7,45
2025-01-23,Vizianagaram_Pit_2,550,524,0.5,0.3,1.5,0
2025-01-23,Sandur_Pit_1,750,682,3.0,0.4,2.8,0
2025-01-23,Ballari_Pit_2,650,622,2.2,0.1,1.6,0
2025-01-24,Bharveli_Pit_1,850,759,2.7,2.2,0.4,0
2025-01-24,Ukwa_Pit_2,600,525,0.0,1.1,1.5,15
2025-01-24,Tirodi_Pit_3,750,605,1.8,0.8,7.0,0
2025-01-24,Dongri_Buzurg_Pit_4,900,814,2.4,0.6,0.9,30
2025-01-24,Mansar_Pit_5,500,422,0.6,0.1,0.1,45
2025-01-24,Kandri_Pit_6,650,628,0.4,0.4,0.4,0
2025-01-24,Keonjhar_Pit_1,800,725,0.1,1.8,0.4,15
2025-01-24,Barbil_Pit_2,850,762,4.2,1.2,1.2,0
2025-01-24,Joda_Pit_3,700,575,10.3,1.2,1.3,30
2025-01-24,Garividi_Pit_1,600,491,1.3,0.1,1.3,60
2025-01-24,Vizianagaram_Pit_2,550,528,0.4,0.8,0.2,0
2025-01-24,Sandur_Pit_1,750,668,2.8,0.5,1.7,30
2025-01-24,Ballari_Pit_2,650,466,9.8,2.9,1.2,30
2025-01-25,Bharveli_Pit_1,850,770,1.5,1.1,0.1,30
2025-01-25,Ukwa_Pit_2,600,544,3.0,1.4,0.1,0
2025-01-25,Tirodi_Pit_3,750,676,0.6,0.5,0.1,60
2025-01-25,Dongri_Buzurg_Pit_4,900,824,1.0,0.7,1.5,15
2025-01-25,Mansar_Pit_5,500,260,5.0,0.8,7.8,45
2025-01-25,Kandri_Pit_6,650,480,1.0,2.3,3.2,30
2025-01-25,Keonjhar_Pit_1,800,768,3.1,0.4,0.1,0
2025-01-25,Barbil_Pit_2,850,660,0.8,4.1,1.6,30
2025-01-25,Joda_Pit_3,700,541,0.3,2.2,4.1,0
2025-01-25,Garividi_Pit_1,600,553,0.4,0.8,0.8,0
2025-01-25,Vizianagaram_Pit_2,550,543,0.9,0.1,0.0,0
2025-01-25,Sandur_Pit_1,750,671,6.8,0.6,0.6,15
2025-01-25,Ballari_Pit_2,650,598,1.2,0.1,1.6,0
2025-01-26,Bharveli_Pit_1,850,790,0.3,0.1,2.4,0
2025-01-26,Ukwa_Pit_2,600,400,0.1,5.8,0.1,15
2025-01-26,Tirodi_Pit_3,750,613,2.4,0.1,1.1,90
2025-01-26,Dongri_Buzurg_Pit_4,900,849,3.4,1.1,0.6,15
2025-01-26,Mansar_Pit_5,500,395,0.3,2.4,1.0,0
2025-01-26,Kandri_Pit_6,650,547,0.9,0.6,2.8,30
2025-01-26,Keonjhar_Pit_1,800,775,0.0,0.3,2.3,0
2025-01-26,Barbil_Pit_2,850,835,1.5,0.3,0.0,0
2025-01-26,Joda_Pit_3,700,611,0.2,0.9,1.0,30
2025-01-26,Garividi_Pit_1,600,573,0.2,0.7,0.3,0
2025-01-26,Vizianagaram_Pit_2,550,456,0.9,0.6,1.0,30
2025-01-26,Sandur_Pit_1,750,585,4.5,3.4,2.5,0
2025-01-26,Ballari_Pit_2,650,510,0.6,2.0,0.1,45
2025-01-27,Bharveli_Pit_1,850,713,1.2,1.1,1.7,45
2025-01-27,Ukwa_Pit_2,600,517,0.1,0.8,0.3,30
2025-01-27,Tirodi_Pit_3,750,705,1.4,1.3,0.1,0
2025-01-27,Dongri_Buzurg_Pit_4,900,772,0.1,0.0,5.0,30
2025-01-27,Mansar_Pit_5,500,446,0.9,0.4,0.7,30
2025-01-27,Kandri_Pit_6,650,573,0.4,0.1,1.7,30
2025-01-27,Keonjhar_Pit_1,800,714,0.6,0.0,0.1,60
2025-01-27,Barbil_Pit_2,850,827,2.0,0.5,0.4,0
2025-01-27,Joda_Pit_3,700,599,1.9,1.6,1.7,15
2025-01-27,Garividi_Pit_1,600,468,7.8,1.0,1.4,30
2025-01-27,Vizianagaram_Pit_2,550,506,3.3,1.2,0.2,0
2025-01-27,Sandur_Pit_1,750,650,1.2,1.0,4.6,0
2025-01-27,Ballari_Pit_2,650,553,0.3,0.2,3.5,15
2025-01-28,Bharveli_Pit_1,850,701,4.0,2.1,4.0,0
2025-01-28,Ukwa_Pit_2,600,470,2.8,0.7,3.0,30
2025-01-28,Tirodi_Pit_3,750,515,0.4,0.9,6.7,60
2025-01-28,Dongri_Buzurg_Pit_4,900,859,0.1,0.2,0.2,30
2025-01-28,Mansar_Pit_5,500,369,1.4,2.0,2.1,15
2025-01-28,Kandri_Pit_6,650,581,1.8,0.8,0.6,15
2025-01-28,Keonjhar_Pit_1,800,732,2.0,1.6,0.3,0
2025-01-28,Barbil_Pit_2,850,697,0.0,0.3,2.1,90
2025-01-28,Joda_Pit_3,700,627,3.2,0.3,1.3,30
2025-01-28,Garividi_Pit_1,600,539,1.9,0.2,0.7,30
2025-01-28,Vizianagaram_Pit_2,550,499,2.9,0.0,2.2,0
2025-01-28,Sandur_Pit_1,750,692,6.3,0.5,0.6,0
2025-01-28,Ballari_Pit_2,650,541,11.2,0.5,1.0,30
2025-01-29,Bharveli_Pit_1,850,803,4.3,1.0,0.8,0
2025-01-29,Ukwa_Pit_2,600,547,3.2,0.1,1.4,0
2025-01-29,Tirodi_Pit_3,750,675,2.1,0.1,1.4,15
2025-01-29,Dongri_Buzurg_Pit_4,900,777,2.3,1.8,0.5,30
2025-01-29,Mansar_Pit_5,500,483,1.4,0.1,0.1,0
2025-01-29,Kandri_Pit_6,650,587,3.1,0.8,0.9,0
2025-01-29,Keonjhar_Pit_1,800,761,0.8,0.6,0.1,0
2025-01-29,Barbil_Pit_2,850,670,12.8,3.0,1.6,0
2025-01-29,Joda_Pit_3,700,638,2.0,1.7,0.2,0
2025-01-29,Garividi_Pit_1,600,545,1.7,1.0,0.3,0
2025-01-29,Vizianagaram_Pit_2,550,510,0.8,0.0,0.0,30
